19,25
20,35
21,40
22,46
23,50
24,53
25,56
26,58
27,62
28,65
29,67
30,71
31,74
32,78
33,81
34,85
35,88
36,93
37,96
38,99
39,104
40,108
41,112
42,116
43,121
44,127
45,132
46,137
47,142
48,147
49,154
50,160
51,165
52,171
53,178
54,184
55,191
56,199
57,205
58,211
59,220
60,226
61,233
62,241
63,249
64,260
65,269
66,278
67,288
68,300
69,314
70,325
71,338
72,356
73,370
74,386
75,399
76,415
77,429
78,452
79,468
80,486
81,501
82,514
83,526
84,532
85,541
86,553
87,568
88,587
89,603
90,610
91,619
92,628
93,639
94,647
95,653
96,657
97,661
98,662
99,666
100,672
